# omega0=1, alpha=0.20
# theta0=-0.80, theta_dot0=0.12
# t_start=0.00, t_end=150.00, h=0.01
#   t          x(t)                 v(t)       
4.032662569880471e+01 -1.558436571991686e+01 -4.496213119742184e-01
4.044086543166251e+01 -1.564016508994290e+01 -5.277855547204161e-01
4.055510516452031e+01 -1.570508502367333e+01 -6.093944960715584e-01
4.066934489737810e+01 -1.577955339008872e+01 -6.950523360554326e-01
4.078358463023590e+01 -1.586406768159769e+01 -7.853699715501397e-01
4.089782436309370e+01 -1.595919420984061e+01 -8.809350573429128e-01
4.101206409595149e+01 -1.606556295186915e+01 -9.822650371470429e-01
4.112630382880929e+01 -1.618385583137853e+01 -1.089738354965960e+00
4.124054356166709e+01 -1.631478566451642e+01 -1.203499068501003e+00
4.135478329452489e+01 -1.645906251305306e+01 -1.323331418592769e+00
4.146902302738268e+01 -1.661734397688241e+01 -1.448504608244563e+00
4.158326276024048e+01 -1.679016636590874e+01 -1.577595399163438e+00
4.169750249309828e+01 -1.697785520358712e+01 -1.708308230971222e+00
4.181174222595607e+01 -1.718041668366083e+01 -1.837329278146923e+00
4.192598195881387e+01 -1.739741691954293e+01 -1.960269171507980e+00
4.204022169167167e+01 -1.762786288880040e+01 -2.071761390905399e+00
4.215446142452947e+01 -1.787010652357188e+01 -2.165777237313949e+00
4.226870115738726e+01 -1.812179856666220e+01 -2.236181014585092e+00
4.238294089024506e+01 -1.837991770412346e+01 -2.277477354065937e+00
4.249718062310286e+01 -1.864088995269482e+01 -2.285614471035303e+00
4.261142035596065e+01 -1.890079361808455e+01 -2.258643543040259e+00
4.272566008881845e+01 -1.915562184078624e+01 -2.197040422477151e+00
4.283989982167625e+01 -1.940155707705519e+01 -2.103586927126292e+00
4.295413955453404e+01 -1.963520799784961e+01 -1.982849780993206e+00
4.306837928739184e+01 -1.985377112114029e+01 -1.840417389337544e+00
4.318261902024964e+01 -2.005510135481979e+01 -1.682102245729701e+00
4.329685875310744e+01 -2.023769803379034e+01 -1.513281672886760e+00
4.341109848596523e+01 -2.040062826348763e+01 -1.338466968342657e+00
4.352533821882303e+01 -2.054341472701291e+01 -1.161107584090838e+00
4.363957795168083e+01 -2.066591242502536e+01 -9.835826489805956e-01
4.375381768453862e+01 -2.076819195616515e+01 -8.073126718415162e-01
4.386805741739642e+01 -2.085043942011901e+01 -6.329298536348038e-01
4.398229715025422e+01 -2.091287691908391e+01 -4.604626094882631e-01
4.409653688311202e+01 -2.095570364560418e+01 -2.895085702637010e-01
4.421077661596981e+01 -2.097905551362832e+01 -1.193854514851702e-01
4.432501634882761e+01 -2.098298071005562e+01 5.074052866748509e-02
